"","EcoRegion.Domain","Terrain","Incident.Type","Age","Group.Type","Weight..Kg.","Height..Cm.","Build","Physical.Fitness","Mental.Fitness","Experience","Equipment","Personality","Total.hours","Temp.H","Temp.L","Snow","Rain","Subject.Status","Super.Category","Group"
"11338","TEMPERATE","MOUNTAINOUS","SEARCH",42,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR",NA
"11339","TEMPERATE","MOUNTAINOUS","WATER",44,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","WATER",NA
"11340","TEMPERATE","MOUNTAINOUS","SEARCH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR","YES"
"11341","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","WATER",NA
"11342","TEMPERATE","MOUNTAINOUS","SEARCH",2,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","CHILD",NA
"11343","TEMPERATE","MOUNTAINOUS","SEARCH",19,"MM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR","YES"
"11344","TEMPERATE","MOUNTAINOUS","SEARCH",77,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE",NA,NA
"11345","DRY","MOUNTAINOUS","SEARCH",32,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR",NA
"11346","TEMPERATE","MOUNTAINOUS","SEARCH",15,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR",NA
"11347","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"MM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","CHILD","YES"
"11348","TEMPERATE","MOUNTAINOUS","SEARCH",33,"MM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR","YES"
"11349","TEMPERATE","MOUNTAINOUS","SEARCH",36,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DOA","OUTDOOR",NA
"11350","TEMPERATE","MOUNTAINOUS","SEARCH",21,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR",NA
"11351","TEMPERATE","WATER","WATER",14,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","WATER",NA
"11352","TEMPERATE","MOUNTAINOUS","WATER",44,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE",NA,NA
"11353","DRY","HILLY","SEARCH",40,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR",NA
"11354","TEMPERATE","MOUNTAINOUS","SEARCH",69,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DOA","OUTDOOR",NA
"11355","TEMPERATE","MOUNTAINOUS","SEARCH",75,"FF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DOA",NA,"YES"
"11356","TEMPERATE","MOUNTAINOUS","SEARCH",14,"MM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR","YES"
"11357","DRY","MOUNTAINOUS","WATER",14,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DOA","OUTDOOR",NA
"11358","TEMPERATE","WATER","SEARCH",50,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","WATER",NA
"11359","TEMPERATE","MOUNTAINOUS","SEARCH",18,"MM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE",NA,"YES"
"11360","TEMPERATE","MOUNTAINOUS","WATER",15,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DOA","VEHICLE",NA
"11361","TEMPERATE","MOUNTAINOUS","SEARCH",43,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DOA","OUTDOOR",NA
"11362","TEMPERATE","MOUNTAINOUS","WATER",66,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DOA",NA,NA
"11363","DRY","HILLY","WATER",NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE",NA,NA
"11364","TEMPERATE","MOUNTAINOUS","SEARCH",21,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR",NA
"11365","TEMPERATE","MOUNTAINOUS","WATER",15,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR",NA
"11366","TEMPERATE","MOUNTAINOUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE",NA,"YES"
"11367","TEMPERATE","MOUNTAINOUS","SEARCH",27,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR",NA
"11368","TEMPERATE","MOUNTAINOUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE",NA,"YES"
"11369","TEMPERATE","MOUNTAINOUS","SEARCH",46,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR",NA
"11370","TEMPERATE","WATER","WATER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","WATER","YES"
"11371","TEMPERATE","MOUNTAINOUS","SEARCH",80,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR",NA
"11372","TEMPERATE","MOUNTAINOUS","SEARCH",42,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DOA",NA,NA
"11373","DRY","MOUNTAINOUS","SEARCH",12,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","CHILD",NA
"11374","TEMPERATE","MOUNTAINOUS","WATER",44,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DOA",NA,NA
"11375","TEMPERATE","MOUNTAINOUS",NA,50,"MF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE",NA,"YES"
"11376","TEMPERATE","WATER","WATER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","WATER","YES"
"11377","TEMPERATE","MOUNTAINOUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE",NA,"YES"
"11378","TEMPERATE","MOUNTAINOUS","SEARCH",26,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DOA","OUTDOOR",NA
"11379","DRY","MOUNTAINOUS","SEARCH",58,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE",NA,NA
"11380","TEMPERATE","MOUNTAINOUS","SEARCH",24,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","VEHICLE",NA
"11381","DRY","MOUNTAINOUS","SEARCH",55,"MF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE",NA,"YES"
"11382","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"MM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","VEHICLE","YES"
"11383","DRY","MOUNTAINOUS","SEARCH",7,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","CHILD",NA
"11384","TEMPERATE","MOUNTAINOUS","SEARCH",34,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","VEHICLE",NA
"11385","TEMPERATE","MOUNTAINOUS",NA,33,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE",NA,NA
"11386","TEMPERATE","MOUNTAINOUS",NA,33,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE",NA,NA
"11387","TEMPERATE","MOUNTAINOUS","WATER",44,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DOA","WATER",NA
"11388","DRY","MOUNTAINOUS","SEARCH",83,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR",NA
"11389","TEMPERATE","MOUNTAINOUS","SEARCH",13,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR",NA
"11390","TEMPERATE","MOUNTAINOUS","SEARCH",41,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","VEHICLE",NA
"11391","TEMPERATE","MOUNTAINOUS",NA,20,"MM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE",NA,"YES"
"11392","TEMPERATE","MOUNTAINOUS","SEARCH",21,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","WATER",NA
"11393","TEMPERATE","MOUNTAINOUS","WATER",46,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","WATER",NA
"11394","DRY","MOUNTAINOUS","SEARCH",33,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE",NA,NA
"11395","DRY","FLAT","WATER",19,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DOA","VEHICLE",NA
"11396","TEMPERATE","WATER","WATER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","WATER","YES"
"11397","DRY","MOUNTAINOUS","SEARCH",42,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE",NA,NA
"11398","TEMPERATE","MOUNTAINOUS","WATER",36,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE",NA,NA
"11399","TEMPERATE","WATER","WATER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","WATER","YES"
"11400","TEMPERATE","MOUNTAINOUS","SEARCH",14,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR",NA
"11401","TEMPERATE","MOUNTAINOUS","SEARCH",70,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR",NA
"11402","DRY","MOUNTAINOUS","SEARCH",44,"MM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR","YES"
"11403","TEMPERATE","MOUNTAINOUS","SEARCH",54,"AC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","VEHICLE","YES"
"11404","TEMPERATE","MOUNTAINOUS","SEARCH",22,"AC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR","YES"
"11405","TEMPERATE","MOUNTAINOUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE",NA,"YES"
"11406","TEMPERATE","MOUNTAINOUS","SEARCH",13,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR",NA
"11407","TEMPERATE","MOUNTAINOUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE",NA,"YES"
"11408","TEMPERATE","MOUNTAINOUS","SEARCH",31,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR",NA
"11409","TEMPERATE","MOUNTAINOUS","SEARCH",13,"MM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR","YES"
"11410","TEMPERATE","MOUNTAINOUS","SEARCH",15,"FF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR","YES"
"11411","TEMPERATE","MOUNTAINOUS","WATER",38,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","WATER",NA
"11412","TEMPERATE","MOUNTAINOUS","SEARCH",14,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR",NA
"11413","TEMPERATE","MOUNTAINOUS","SEARCH",25,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR",NA
"11414","DRY","HILLY","WATER",42,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE",NA,NA
"11415","TEMPERATE","MOUNTAINOUS","SEARCH",17,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR",NA
"11416","TEMPERATE","MOUNTAINOUS","SEARCH",70,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR",NA
"11417","TEMPERATE","MOUNTAINOUS","SEARCH",5,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","CHILD",NA
"11418","TEMPERATE","MOUNTAINOUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE",NA,"YES"
"11419","TEMPERATE","MOUNTAINOUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE",NA,"YES"
"11420","TEMPERATE","MOUNTAINOUS","SEARCH",52,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE",NA,NA
"11421","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","VEHICLE",NA
"11422","TEMPERATE","MOUNTAINOUS","SEARCH",68,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DOA","WATER",NA
"11423","TEMPERATE","MOUNTAINOUS","SEARCH",15,"MF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR","YES"
"11424",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE",NA,"YES"
"11425","TEMPERATE","MOUNTAINOUS",NA,51,"MF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE",NA,"YES"
"11426","TEMPERATE","MOUNTAINOUS","SEARCH",15,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR",NA
"11427","TEMPERATE","MOUNTAINOUS",NA,20,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE",NA,NA
"11428","TEMPERATE","WATER","SEARCH",78,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","WATER",NA
"11429","TEMPERATE","MOUNTAINOUS","WATER",39,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE",NA,NA
"11430","TEMPERATE","WATER","WATER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","WATER","YES"
"11431","TEMPERATE","MOUNTAINOUS","SEARCH",25,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DOA","VEHICLE",NA
"11432","TEMPERATE","WATER","WATER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","WATER","YES"
"11433","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"MM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","CHILD","YES"
"11434","TEMPERATE","MOUNTAINOUS","SEARCH",54,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE",NA,NA
"11435","TEMPERATE","MOUNTAINOUS","SEARCH",65,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DOA",NA,NA
"11436","TEMPERATE","MOUNTAINOUS","SEARCH",9,"MF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","CHILD","YES"
"11437","DRY","HILLY","SEARCH",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE",NA,"YES"
"11438","TEMPERATE","MOUNTAINOUS","SEARCH",38,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","VEHICLE",NA
"11439","TEMPERATE","MOUNTAINOUS",NA,40,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE",NA,NA
"11440","TEMPERATE","MOUNTAINOUS","SEARCH",49,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DOA","OUTDOOR",NA
"11441","TEMPERATE","MOUNTAINOUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE",NA,"YES"
"11442","TEMPERATE","MOUNTAINOUS","SEARCH",71,"MM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","VEHICLE","YES"
"11443","TEMPERATE","MOUNTAINOUS","SEARCH",14,"AC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR","YES"
"11444","TEMPERATE","MOUNTAINOUS","SEARCH",7,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","CHILD",NA
"11445","TEMPERATE","MOUNTAINOUS","SEARCH",29,"MM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE",NA,"YES"
"11446","TEMPERATE","MOUNTAINOUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE",NA,"YES"
"11447","TEMPERATE","MOUNTAINOUS","SEARCH",19,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR",NA
"11448","TEMPERATE","MOUNTAINOUS","SEARCH",36,"AC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR","YES"
"11449","DRY","HILLY","SEARCH",20,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","WATER",NA
"11450","TEMPERATE","MOUNTAINOUS",NA,33,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE",NA,NA
"11451","TEMPERATE","MOUNTAINOUS","SEARCH",14,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR",NA
"11452","TEMPERATE","MOUNTAINOUS",NA,17,"MM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE",NA,"YES"
"11453","TEMPERATE","MOUNTAINOUS","SEARCH",48,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE",NA,NA
"11454","TEMPERATE","MOUNTAINOUS","SEARCH",NA,NA,NA,NA,NA,NA,"MILD",NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","DESPONDENT","YES"
"11455","TEMPERATE","MOUNTAINOUS","SEARCH",37,"MF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE",NA,"YES"
"11456","TEMPERATE","WATER","WATER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","WATER","YES"
"11457","TEMPERATE","MOUNTAINOUS","WATER",22,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DOA",NA,NA
"11458","TEMPERATE","WATER","WATER",64,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","WATER",NA
"11459","TEMPERATE","MOUNTAINOUS","SEARCH",72,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR",NA
"11460","TEMPERATE","MOUNTAINOUS","WATER",40,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DOA",NA,NA
"11461","TEMPERATE","MOUNTAINOUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE",NA,"YES"
"11462","TEMPERATE","MOUNTAINOUS","SEARCH",44,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR",NA
"11463","TEMPERATE","MOUNTAINOUS","SEARCH",15,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR",NA
"11464","TEMPERATE","MOUNTAINOUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE",NA,"YES"
"11465","TEMPERATE","MOUNTAINOUS","SEARCH",63,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR",NA
"11466","TEMPERATE","MOUNTAINOUS","SEARCH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR","YES"
"11467","TEMPERATE","MOUNTAINOUS","SEARCH",80,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE",NA,NA
"11468","TEMPERATE","MOUNTAINOUS","SEARCH",27,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR",NA
"11469","TEMPERATE","MOUNTAINOUS","SEARCH",5,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","CHILD",NA
"11470","TEMPERATE","MOUNTAINOUS","SEARCH",12,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","CHILD",NA
"11471","TEMPERATE","MOUNTAINOUS","SEARCH",76,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE",NA,NA
"11472","TEMPERATE","MOUNTAINOUS","SEARCH",30,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR",NA
"11473","TEMPERATE","MOUNTAINOUS","SEARCH",17,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE",NA,NA
"11474","DRY","HILLY","SEARCH",69,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE",NA,NA
"11475","TEMPERATE","WATER",NA,14,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","WATER",NA
"11476","TEMPERATE","MOUNTAINOUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE",NA,"YES"
"11477","TEMPERATE","MOUNTAINOUS",NA,61,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE",NA,NA
"11478","TEMPERATE","MOUNTAINOUS","SEARCH",42,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","WATER",NA
"11479","TEMPERATE","MOUNTAINOUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE",NA,"YES"
"11480","TEMPERATE","MOUNTAINOUS","SEARCH",14,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR",NA
"11481","TEMPERATE","MOUNTAINOUS","SEARCH",39,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE",NA,NA
"11482","TEMPERATE","MOUNTAINOUS","WATER",88,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DOA",NA,NA
"11483","TEMPERATE","MOUNTAINOUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE",NA,"YES"
"11484","TEMPERATE","MOUNTAINOUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE",NA,"YES"
"11485","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"MM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR","YES"
"11486","TEMPERATE","MOUNTAINOUS","WATER",30,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DOA","WATER",NA
"11487","TEMPERATE","MOUNTAINOUS","SEARCH",85,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE",NA,NA
"11488","TEMPERATE","MOUNTAINOUS","SEARCH",36,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE",NA,NA
"11489","TEMPERATE","MOUNTAINOUS","SEARCH",21,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR",NA
"11490","TEMPERATE","MOUNTAINOUS","SEARCH",11,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","CHILD",NA
"11491","TEMPERATE","MOUNTAINOUS","SEARCH",47,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR",NA
"11492","TEMPERATE","MOUNTAINOUS","SEARCH",31,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE",NA,NA
"11493","TEMPERATE","MOUNTAINOUS","SEARCH",89,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE",NA,NA
"11494","DRY","MOUNTAINOUS","SEARCH",54,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR",NA
"11495","TEMPERATE","MOUNTAINOUS","SEARCH",12,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","CHILD",NA
"11496","TEMPERATE","MOUNTAINOUS","SEARCH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR","YES"
